STUDY_ID	SAMPLE_ID	AKT1	AKT2	AKT3	MAP3K1	MAP3K2	MAP3K3
blca_tcga_pub_2017	TCGA-FD-A43Y-01	0.4442	0.182	-0.3751	-0.9109	0.5264	0.079
blca_tcga_pub_2017	TCGA-FD-A5BR-01	-0.1443	1.1831	-0.1965	-0.7406	-0.9863	1.7816
blca_tcga_pub_2017	TCGA-FD-A5BS-01	-0.2495	-0.1327	0.7391	-0.2738	-0.8937	0.9598
blca_tcga_pub_2017	TCGA-FD-A5BT-01	-0.2655	-1.6319	-0.4177	-0.7373	-1.5277	0.0241
blca_tcga_pub_2017	TCGA-FD-A5BU-01	-0.4426	1.5079	-0.0469	3.495	0.2294	0.2321
blca_tcga_pub_2017	TCGA-FD-A5BV-01	0.2264	-1.2684	-0.5264	-0.6535	-0.6941	-0.6463
blca_tcga_pub_2017	TCGA-FD-A5BX-01	0.3669	0.6439	0.2819	-1.2501	-0.9837	1.3391
blca_tcga_pub_2017	TCGA-FJ-A3Z9-01	0.4598	0.4143	-0.9483	-0.7083	-0.9106	-1.5693
blca_tcga_pub_2017	TCGA-GC-A4ZW-01	1.0152	-0.7341	-0.9081	-0.4427	-0.2825	-0.0772
blca_tcga_pub_2017	TCGA-HQ-A2OF-01	-1.7408	-1.3706	-0.7431	-0.3433	1.402	-1.6052
blca_tcga_pub_2017	TCGA-HQ-A5ND-01	0.7002	0.8428	-0.4639	-0.627	0.693	-0.202
blca_tcga_pub_2017	TCGA-K4-A4AC-01	-0.2971	0.9063	-0.7045	-0.6456	-1.2258	1.2042
blca_tcga_pub_2017	TCGA-K4-A54R-01	-0.1727	-0.3342	-0.5912	-1.287	-0.5007	-0.4362
blca_tcga_pub_2017	TCGA-MV-A51V-01	0.3032	1.6654	0.2281	-0.42	-0.9532	-0.0817
blca_tcga_pub_2017	TCGA-CF-A5U8-01	-0.3824	-0.2756	-0.8525	-0.8175	-0.841	-0.6019
blca_tcga_pub_2017	TCGA-CF-A5UA-01	-1.2184	0.4886	-0.8714	-0.6705	-1.4178	-1.3356
blca_tcga_pub_2017	TCGA-CU-A5W6-01	-1.4934	1.0905	-0.5407	-0.7007	-0.4896	-0.7924
