STUDY_ID	SAMPLE_ID	AKT1	AKT2	AKT3	MAP3K1	MAP3K2	MAP3K3
blca_tcga_pub_2017	TCGA-DK-A6AW-01	0.7112	-1.0517	-0.5473	-0.833	-0.9403	1.1564
blca_tcga_pub_2017	TCGA-DK-A6B1-01	0.3447	-0.1738	1.3118	0.0029	-0.5899	-0.3924
blca_tcga_pub_2017	TCGA-DK-A6B2-01	-0.6225	-0.7102	0.8847	0.0927	0.342	0.3299
blca_tcga_pub_2017	TCGA-DK-A6B6-01	-0.4944	-0.8968	-1.3592	-0.4025	-0.3908	-0.5944
blca_tcga_pub_2017	TCGA-E7-A677-01	-1.0771	0.0149	0.0724	2.3885	0.614	0.4275
blca_tcga_pub_2017	TCGA-E7-A678-01	-0.1786	-0.5801	-2.3204	-0.9757	-1.6192	-0.2071
blca_tcga_pub_2017	TCGA-FD-A62N-01	0.4321	0.096	0.8285	-0.1735	-0.4746	1.6109
blca_tcga_pub_2017	TCGA-FD-A62O-01	-0.7485	-0.2382	-0.3303	-0.0827	0.442	-1.9226
blca_tcga_pub_2017	TCGA-FD-A62P-01	-0.5372	1.0266	0.0818	0.622	-0.2428	0.1816
blca_tcga_pub_2017	TCGA-FD-A62S-01	2.0173	0.4361	0.9276	0.3914	1.4175	1.2573
blca_tcga_pub_2017	TCGA-FT-A61P-01	0.4859	0.0683	1.2602	-1.363	-0.2622	1.5115
blca_tcga_pub_2017	TCGA-K4-A5RH-01	0.233	0.183	1.3793	-0.1444	0.0137	2.7
blca_tcga_pub_2017	TCGA-LC-A66R-01	-0.3457	-2.0848	1.4543	1.4428	0.2317	1.5034
blca_tcga_pub_2017	TCGA-R3-A69X-01	-0.4633	0.3229	0.6146	0.6471	1.0075	0.6425
blca_tcga_pub_2017	TCGA-DK-A6B0-01	0.2912	-0.597	-1.4332	-0.658	-0.9892	-0.4639
blca_tcga_pub_2017	TCGA-DK-A6B5-01	1.2416	0.2115	-0.8711	0.3477	0.4952	0.2397
blca_tcga_pub_2017	TCGA-E5-A4TZ-01	-0.065	1.5526	-0.7532	1.2246	0.2457	0.2864
blca_tcga_pub_2017	TCGA-E5-A4U1-01	-1.7442	0.9186	-1.986	-0.396	-1.5326	-0.4528
