,cell line,condition,io_ratio
301,J82,"['~ERK', '~RAS', '~RSK']",0.0
302,J82,"['~ERK', '~RAS', '~TAOK']",0.0
303,J82,"['~ERK', '~SOS', '~ATF2']",0.0
304,J82,"['~ERK', '~SOS', '~ATM']",0.0
305,J82,"['~ERK', '~SOS', '~ELK1']",0.0
306,J82,"['~ERK', '~SOS', '~FOS']",0.0
307,J82,"['~ERK', '~SOS', '~FRS2']",0.0
308,J82,"['~ERK', '~SOS', '~GAB1']",0.0
309,J82,"['~ERK', '~SOS', '~GRB2']",0.0
310,J82,"['~ERK', '~SOS', '~JUN']",0.0
311,J82,"['~ERK', '~SOS', '~PKC']",0.0
312,J82,"['~ERK', '~SOS', '~RAF']",0.0
313,J82,"['~ERK', '~SOS', '~RSK']",0.0
314,J82,"['~ERK', '~SOS', '~TAOK']",0.0
315,J82,"['~ERK', '~ATF2', '~ATM']",0.0
316,J82,"['~ERK', '~ATF2', '~ELK1']",0.0
317,J82,"['~ERK', '~ATF2', '~FOS']",0.0
318,J82,"['~ERK', '~ATF2', '~FRS2']",0.0
319,J82,"['~ERK', '~ATF2', '~GAB1']",0.0
320,J82,"['~ERK', '~ATF2', '~GRB2']",0.0
321,J82,"['~ERK', '~ATF2', '~JUN']",0.0
322,J82,"['~ERK', '~ATF2', '~PKC']",0.0
323,J82,"['~ERK', '~ATF2', '~RAF']",0.0
324,J82,"['~ERK', '~ATF2', '~RSK']",0.0
325,J82,"['~ERK', '~ATF2', '~TAOK']",0.0
326,J82,"['~ERK', '~ATM', '~ELK1']",0.0
327,J82,"['~ERK', '~ATM', '~FOS']",0.0
328,J82,"['~ERK', '~ATM', '~FRS2']",0.0
329,J82,"['~ERK', '~ATM', '~GAB1']",0.0
330,J82,"['~ERK', '~ATM', '~GRB2']",0.0
331,J82,"['~ERK', '~ATM', '~JUN']",0.0
332,J82,"['~ERK', '~ATM', '~PKC']",0.0
333,J82,"['~ERK', '~ATM', '~RAF']",0.0
334,J82,"['~ERK', '~ATM', '~RSK']",0.0
335,J82,"['~ERK', '~ATM', '~TAOK']",0.0
336,J82,"['~ERK', '~ELK1', '~FOS']",0.0
337,J82,"['~ERK', '~ELK1', '~FRS2']",0.0
338,J82,"['~ERK', '~ELK1', '~GAB1']",0.0
339,J82,"['~ERK', '~ELK1', '~GRB2']",0.0
340,J82,"['~ERK', '~ELK1', '~JUN']",0.0
341,J82,"['~ERK', '~ELK1', '~PKC']",0.0
342,J82,"['~ERK', '~ELK1', '~RAF']",0.0
343,J82,"['~ERK', '~ELK1', '~RSK']",0.0
344,J82,"['~ERK', '~ELK1', '~TAOK']",0.0
345,J82,"['~ERK', '~FOS', '~FRS2']",0.0
346,J82,"['~ERK', '~FOS', '~GAB1']",0.0
347,J82,"['~ERK', '~FOS', '~GRB2']",0.0
348,J82,"['~ERK', '~FOS', '~JUN']",0.0
349,J82,"['~ERK', '~FOS', '~PKC']",0.0
350,J82,"['~ERK', '~FOS', '~RAF']",0.0
351,J82,"['~ERK', '~FOS', '~RSK']",0.0
352,J82,"['~ERK', '~FOS', '~TAOK']",0.0
353,J82,"['~ERK', '~FRS2', '~GAB1']",0.0
354,J82,"['~ERK', '~FRS2', '~GRB2']",0.0
355,J82,"['~ERK', '~FRS2', '~JUN']",0.0
356,J82,"['~ERK', '~FRS2', '~PKC']",0.0
357,J82,"['~ERK', '~FRS2', '~RAF']",0.0
358,J82,"['~ERK', '~FRS2', '~RSK']",0.0
359,J82,"['~ERK', '~FRS2', '~TAOK']",0.0
360,J82,"['~ERK', '~GAB1', '~GRB2']",0.0
361,J82,"['~ERK', '~GAB1', '~JUN']",0.0
362,J82,"['~ERK', '~GAB1', '~PKC']",0.0
363,J82,"['~ERK', '~GAB1', '~RAF']",0.0
364,J82,"['~ERK', '~GAB1', '~RSK']",0.0
365,J82,"['~ERK', '~GAB1', '~TAOK']",0.0
366,J82,"['~ERK', '~GRB2', '~JUN']",0.0
367,J82,"['~ERK', '~GRB2', '~PKC']",0.0
368,J82,"['~ERK', '~GRB2', '~RAF']",0.0
369,J82,"['~ERK', '~GRB2', '~RSK']",0.0
370,J82,"['~ERK', '~GRB2', '~TAOK']",0.0
371,J82,"['~ERK', '~JUN', '~PKC']",0.0
372,J82,"['~ERK', '~JUN', '~RAF']",0.0
373,J82,"['~ERK', '~JUN', '~RSK']",0.0
374,J82,"['~ERK', '~JUN', '~TAOK']",0.0
375,J82,"['~ERK', '~PKC', '~RAF']",0.0
376,J82,"['~ERK', '~PKC', '~RSK']",0.0
377,J82,"['~ERK', '~PKC', '~TAOK']",0.0
378,J82,"['~ERK', '~RAF', '~RSK']",0.0
379,J82,"['~ERK', '~RAF', '~TAOK']",0.0
380,J82,"['~ERK', '~RSK', '~TAOK']",0.0
381,J82,"['~JNK', '~AKT', '~BCL2']",0.0
382,J82,"['~JNK', '~AKT', '~FGFR3']",0.0
383,J82,"['~JNK', '~AKT', '~MAP3K1_3']",0.0
384,J82,"['~JNK', '~AKT', '~PLCG']",0.0
385,J82,"['~JNK', '~AKT', '~PPP2CA']",0.0
386,J82,"['~JNK', '~AKT', '~RAS']",0.0
387,J82,"['~JNK', '~AKT', '~SOS']",0.0
388,J82,"['~JNK', '~AKT', '~ATF2']",0.0
389,J82,"['~JNK', '~AKT', '~ATM']",0.0
390,J82,"['~JNK', '~AKT', '~ELK1']",0.0
391,J82,"['~JNK', '~AKT', '~FOS']",0.0
392,J82,"['~JNK', '~AKT', '~FRS2']",0.0
393,J82,"['~JNK', '~AKT', '~GAB1']",0.0
394,J82,"['~JNK', '~AKT', '~GRB2']",0.0
395,J82,"['~JNK', '~AKT', '~JUN']",0.0
396,J82,"['~JNK', '~AKT', '~PKC']",0.0
397,J82,"['~JNK', '~AKT', '~RAF']",0.0
398,J82,"['~JNK', '~AKT', '~RSK']",0.0
399,J82,"['~JNK', '~AKT', '~TAOK']",0.0
400,J82,"['~JNK', '~BCL2', '~FGFR3']",0.0
401,J82,"['~JNK', '~BCL2', '~MAP3K1_3']",0.0
402,J82,"['~JNK', '~BCL2', '~PLCG']",0.0
403,J82,"['~JNK', '~BCL2', '~PPP2CA']",0.0
404,J82,"['~JNK', '~BCL2', '~RAS']",0.0
405,J82,"['~JNK', '~BCL2', '~SOS']",0.0
406,J82,"['~JNK', '~BCL2', '~ATF2']",0.0
407,J82,"['~JNK', '~BCL2', '~ATM']",0.0
408,J82,"['~JNK', '~BCL2', '~ELK1']",0.0
409,J82,"['~JNK', '~BCL2', '~FOS']",0.0
410,J82,"['~JNK', '~BCL2', '~FRS2']",0.0
411,J82,"['~JNK', '~BCL2', '~GAB1']",0.0
412,J82,"['~JNK', '~BCL2', '~GRB2']",0.0
413,J82,"['~JNK', '~BCL2', '~JUN']",0.0
414,J82,"['~JNK', '~BCL2', '~PKC']",0.0
415,J82,"['~JNK', '~BCL2', '~RAF']",0.0
416,J82,"['~JNK', '~BCL2', '~RSK']",0.0
417,J82,"['~JNK', '~BCL2', '~TAOK']",0.0
418,J82,"['~JNK', '~FGFR3', '~MAP3K1_3']",0.0
419,J82,"['~JNK', '~FGFR3', '~PLCG']",0.0
420,J82,"['~JNK', '~FGFR3', '~PPP2CA']",0.0
421,J82,"['~JNK', '~FGFR3', '~RAS']",0.0
422,J82,"['~JNK', '~FGFR3', '~SOS']",0.0
423,J82,"['~JNK', '~FGFR3', '~ATF2']",0.0
424,J82,"['~JNK', '~FGFR3', '~ATM']",0.0
425,J82,"['~JNK', '~FGFR3', '~ELK1']",0.0
426,J82,"['~JNK', '~FGFR3', '~FOS']",0.0
427,J82,"['~JNK', '~FGFR3', '~FRS2']",0.0
428,J82,"['~JNK', '~FGFR3', '~GAB1']",0.0
429,J82,"['~JNK', '~FGFR3', '~GRB2']",0.0
430,J82,"['~JNK', '~FGFR3', '~JUN']",0.0
431,J82,"['~JNK', '~FGFR3', '~PKC']",0.0
432,J82,"['~JNK', '~FGFR3', '~RAF']",0.0
433,J82,"['~JNK', '~FGFR3', '~RSK']",0.0
