,model,network_idx,size_of_network,num_link,C0,C1,C2,C3,robustness_pa,robustness_ip,empty_io_ratio,deterministic_io_ratio,redundancy,num_input,num_output,num_wccs,norm_num_wccs,len_largest_wcc,norm_len_largest_wcc,type,avg_len_wcc,reversibility
249,bt474_short,86,16,34,10,3,0,3,0.828125,0.63409423828125,0.5,0.25,2.6,5.0,2.0,14,0.4117647058823529,16,1.0,random,,0.8125
250,bt474_short,69,16,33,6,5,0,5,0.65625,0.56500244140625,0.9375,0.03125,4.6,5.0,2.0,20,0.5882352941176471,6,0.375,random,,0.6875
251,bt474_short,55,16,32,11,3,0,2,0.84375,0.6551513671875,0.25,0.375,3.8,5.0,2.0,13,0.3823529411764705,8,0.5,random,,0.875
252,bt474_short,8,16,32,14,1,0,1,0.625,0.6610107421875,0.0,0.5,4.0,5.0,2.0,13,0.3823529411764705,20,1.25,random,,0.9375
253,bt474_short,85,16,32,2,8,0,6,0.75,0.6875,0.0,0.75,4.733333333333333,5.0,2.0,14,0.4117647058823529,16,1.0,random,,0.625
254,bt474_short,68,16,34,10,3,0,3,0.46875,0.50469970703125,0.5,0.25,5.75,5.0,2.0,16,0.4705882352941176,10,0.625,random,,0.8125
256,bt474_short,84,16,32,4,4,0,8,0.71875,0.65606689453125,0.25,0.6875,4.2727272727272725,5.0,2.0,17,0.5,13,0.8125,random,,0.5
257,bt474_short,18,16,31,3,5,0,8,0.4375,0.56585693359375,0.0,0.78125,3.333333333333333,5.0,2.0,15,0.46875,9,0.5625,random,,0.5
258,bt474_short,67,16,31,2,4,0,10,0.59375,0.67138671875,0.125,0.84375,3.7355371900826446,5.0,2.0,12,0.3529411764705882,22,1.375,random,,0.375
259,bt474_short,83,16,30,9,3,0,4,0.75,0.62908935546875,0.25,0.375,3.8,5.0,2.0,16,0.4705882352941176,14,0.875,random,,0.75
260,bt474_short,66,16,31,11,1,0,4,0.71875,0.6875,0.5,0.25,4.8,5.0,2.0,13,0.3823529411764705,17,1.0625,random,,0.75
261,bt474_short,19,16,32,10,1,0,5,0.8203125,0.59234619140625,0.0,0.75,2.5454545454545454,5.0,2.0,16,0.5,7,0.4375,random,,0.6875
263,bt474_short,30,16,33,4,3,0,9,0.5,0.65374755859375,0.8125,0.09375,7.2,5.0,2.0,17,0.5,8,0.5,random,,0.4375
264,bt474_short,49,16,31,9,3,0,4,0.4375,0.58892822265625,0.0,0.5,2.6,5.0,2.0,15,0.4411764705882353,8,0.5,random,,0.75
265,bt474_short,40,16,32,5,7,0,4,0.71875,0.6396484375,0.25,0.75,2.8,5.0,2.0,17,0.53125,14,0.875,random,,0.75
266,bt474_short,50,16,33,2,5,0,9,0.4375,0.6875,0.0625,0.6875,4.125,5.0,2.0,17,0.5,9,0.5625,random,,0.4375
267,bt474_short,34,16,30,4,3,0,9,0.65625,0.65338134765625,0.0,0.90625,2.8931297709923665,5.0,2.0,10,0.2941176470588235,18,1.125,random,,0.4375
268,bt474_short,36,16,33,6,6,0,4,0.71875,0.6875,0.75,0.125,9.2,5.0,2.0,19,0.5588235294117647,5,0.3125,random,,0.75
269,bt474_short,4,16,30,9,3,0,4,0.5625,0.6875,0.0,0.5,1.6,5.0,2.0,16,0.4705882352941176,5,0.3125,random,,0.75
270,bt474_short,42,16,30,2,6,0,8,0.5,0.674560546875,0.4375,0.3125,2.8095238095238093,5.0,2.0,17,0.5,7,0.4375,random,,0.5
272,bt474_short,23,16,31,2,8,0,6,0.78125,0.62841796875,0.0625,0.6875,2.5625,5.0,2.0,13,0.40625,17,1.0625,random,,0.625
273,bt474_short,54,16,31,11,3,0,2,0.453125,0.58685302734375,0.0,0.5,2.8,5.0,2.0,19,0.5588235294117647,6,0.375,random,,0.875
274,bt474_short,25,16,32,8,2,0,6,0.6875,0.6875,0.125,0.4375,5.333333333333333,5.0,2.0,17,0.5,12,0.75,random,,0.625
275,bt474_short,31,16,33,7,5,0,4,0.46875,0.6640625,0.125,0.4375,8.75,5.0,2.0,15,0.4411764705882353,14,0.875,random,,0.75
276,bt474_short,41,16,33,6,5,0,5,0.59375,0.672119140625,0.125,0.4375,7.4,5.0,2.0,16,0.4705882352941176,8,0.5,random,,0.6875
277,bt474_short,22,16,31,12,3,0,1,0.8125,0.6875,0.0,0.5,12.0,5.0,2.0,14,0.4117647058823529,14,0.875,random,,0.9375
278,bt474_short,52,16,33,13,2,0,1,0.625,0.62615966796875,0.0,0.5,6.666666666666667,5.0,2.0,17,0.5,10,0.625,random,,0.9375
279,bt474_short,21,16,33,3,6,0,7,0.828125,0.6875,0.0,0.65625,3.9178082191780814,5.0,2.0,18,0.5294117647058824,6,0.375,random,,0.5625
280,bt474_short,28,16,32,6,4,0,6,0.78125,0.67010498046875,0.125,0.4375,6.2,5.0,2.0,16,0.4705882352941176,9,0.5625,random,,0.625
282,bt474_short,53,16,34,3,7,0,6,0.625,0.64154052734375,0.0625,0.46875,2.2,5.0,2.0,14,0.4117647058823529,13,0.8125,random,,0.625
283,bt474_short,2,16,32,10,4,0,2,0.78125,0.65576171875,0.0,0.5,5.4,5.0,2.0,15,0.4411764705882353,15,0.9375,random,,0.875
284,bt474_short,51,16,32,10,2,0,4,0.375,0.5799560546875,0.375,0.3125,2.4,5.0,2.0,15,0.4411764705882353,11,0.6875,random,,0.75
285,bt474_short,48,16,32,3,6,1,6,0.59375,0.66864013671875,0.0,0.625,2.647058823529412,5.0,2.0,14,0.4375,10,0.625,random,,0.625
286,bt474_short,33,16,30,1,6,0,9,0.6875,0.6573486328125,0.0,0.921875,3.5513307984790874,5.0,2.0,15,0.4411764705882353,7,0.4375,random,,0.4375
287,bt474_short,47,16,33,11,2,0,3,0.65625,0.6875,0.0,1.0,5.2,5.0,2.0,15,0.46875,11,0.6875,random,,0.8125
288,bt474_short,39,16,31,8,3,0,5,0.625,0.6875,0.25,0.75,4.9,5.0,2.0,12,0.375,14,0.875,random,,0.6875
290,bt474_short,37,16,33,12,2,0,2,0.53125,0.6636962890625,0.0,0.5,3.4,5.0,2.0,18,0.5294117647058824,5,0.3125,random,,0.875
291,bt474_short,3,16,34,4,3,0,9,0.6875,0.64471435546875,0.25,0.6875,5.363636363636363,5.0,2.0,12,0.375,16,1.0,random,,0.4375
293,bt474_short,26,16,31,3,6,0,7,0.5,0.67767333984375,0.03125,0.484375,8.4,5.0,2.0,16,0.4705882352941176,7,0.4375,random,,0.5625
294,bt474_short,44,16,32,4,5,0,7,0.40625,0.673095703125,0.9375,0.03125,4.4,5.0,2.0,19,0.5588235294117647,5,0.3125,random,,0.5625
296,bt474_short,20,16,30,9,5,0,2,0.6875,0.6875,0.0,1.0,3.7,5.0,2.0,11,0.34375,19,1.1875,random,,0.875
297,bt474_short,45,16,30,5,5,0,6,0.90625,0.648681640625,0.0625,0.46875,5.8,5.0,2.0,15,0.4411764705882353,16,1.0,random,,0.625
298,bt474_short,29,16,32,9,5,0,2,0.8125,0.66143798828125,0.0,0.5,3.5,5.0,2.0,18,0.5294117647058824,12,0.75,random,,0.875
299,bt474_short,46,16,33,2,6,0,8,0.59375,0.6875,0.5,0.25,4.8,5.0,2.0,15,0.4411764705882353,6,0.375,random,,0.5
351,colitis,47,70,149,48,14,0,8,0.7535714285714286,0.9857142857142858,0.5,0.25,69.0,1.0,2.0,23,0.1619718309859155,107,1.5285714285714285,random,,0.8857142857142857
392,colitis,77,70,152,61,6,0,3,0.725,0.95615234375,0.5,0.25,1.0,1.0,2.0,24,0.1690140845070422,115,1.6428571428571428,random,,0.9571428571428572
400,death,54,28,43,22,2,0,4,0.7678571428571429,0.802001953125,0.5,0.1666666666666666,1.0,3.0,3.0,9,0.1551724137931034,48,1.7142857142857142,random,,0.8571428571428572
405,death,66,28,44,20,3,0,5,0.7321428571428571,0.8699428013392857,0.5,0.1666666666666666,5.0,3.0,3.0,12,0.2068965517241379,43,1.5357142857142858,random,,0.8214285714285714
407,death,65,28,44,19,5,0,4,0.8035714285714286,0.8555733816964286,0.5,0.1666666666666666,2.6666666666666665,3.0,3.0,10,0.1724137931034483,45,1.6071428571428572,random,,0.8571428571428572
408,death,64,28,44,20,3,0,5,0.7678571428571429,0.8928571428571429,0.5,0.1666666666666666,3.0,3.0,3.0,14,0.2413793103448276,43,1.5357142857142858,random,,0.8214285714285714
410,death,44,28,44,23,2,0,3,0.6964285714285714,0.855712890625,0.5,0.1666666666666666,2.0,3.0,3.0,11,0.1896551724137931,30,1.0714285714285714,random,,0.8928571428571429
412,death,39,28,44,23,2,0,3,0.7678571428571429,0.8928571428571429,0.5,0.1666666666666666,9.0,3.0,3.0,12,0.2068965517241379,19,0.6785714285714286,random,,0.8928571428571429
413,death,61,28,44,25,1,0,2,0.75,0.8268345424107143,0.0,0.3333333333333333,4.333333333333333,3.0,3.0,12,0.2068965517241379,17,0.6071428571428571,random,,0.9285714285714286
415,death,55,28,44,11,10,0,7,0.7232142857142857,0.8756277901785714,0.25,0.25,3.0,3.0,3.0,13,0.2241379310344827,41,1.4642857142857142,random,,0.75
419,death,43,28,42,11,8,0,9,0.5357142857142857,0.8009905133928571,0.5,0.3333333333333333,4.166666666666667,3.0,3.0,10,0.1724137931034483,40,1.4285714285714286,random,,0.6785714285714286
420,death,58,28,44,17,2,0,9,0.75,0.8928571428571429,0.5,0.1666666666666666,4.0,3.0,3.0,12,0.2068965517241379,32,1.1428571428571428,random,,0.6785714285714286
425,death,56,28,43,18,4,0,6,0.75,0.8928571428571429,0.5,0.1666666666666666,5.666666666666667,3.0,3.0,10,0.1724137931034483,44,1.5714285714285714,random,,0.7857142857142857
429,death,35,28,44,21,2,0,5,0.6607142857142857,0.8928571428571429,0.5,0.1666666666666666,1.6666666666666667,3.0,3.0,8,0.1379310344827586,41,1.4642857142857142,random,,0.8214285714285714
431,death,10,28,43,17,7,0,4,0.8035714285714286,0.8568987165178571,0.5,0.1666666666666666,3.333333333333333,3.0,3.0,13,0.2241379310344827,39,1.3928571428571428,random,,0.8571428571428572
437,death,26,28,44,15,3,0,10,0.75,0.8702915736607143,0.25,0.3333333333333333,1.5,3.0,3.0,11,0.1896551724137931,38,1.3571428571428572,random,,0.6428571428571428
438,death,9,28,43,9,6,0,13,0.6071428571428571,0.8663504464285714,0.5,0.25,5.4,3.0,3.0,9,0.1551724137931034,45,1.6071428571428572,random,,0.5357142857142857
441,death,82,28,43,21,2,0,5,0.7053571428571429,0.8080008370535714,0.5,0.1666666666666666,1.3333333333333333,3.0,3.0,11,0.1896551724137931,44,1.5714285714285714,random,,0.8214285714285714
448,death,81,28,44,12,6,0,10,0.3591269841269841,0.7979561941964286,0.0,0.3333333333333333,1.0,3.0,3.0,9,0.1551724137931034,25,0.8928571428571429,random,,0.6428571428571428
449,death,17,28,44,17,4,0,7,0.8035714285714286,0.8928571428571429,0.5,0.1666666666666666,1.3333333333333333,3.0,3.0,12,0.2068965517241379,36,1.2857142857142858,random,,0.75
