,model,network_idx,size_of_network,num_link,C0,C1,C2,C3,robustness_pa,robustness_ip,empty_io_ratio,deterministic_io_ratio,redundancy,num_input,num_output
179,apoptosis,2,41,73,41,0,0,0,0.8292682926829268,0.926829268292683,1.0,0.0,-1,2.0,1.0
180,apoptosis,48,41,71,41,0,0,0,0.6707317073170732,0.9389767530487805,1.0,0.0,-1,2.0,1.0
181,apoptosis,14,41,73,37,3,0,1,0.676829268292683,0.9512195121951219,1.0,0.0,-1,2.0,1.0
182,apoptosis,53,41,70,39,0,0,2,0.6951219512195121,0.9512195121951219,1.0,0.0,-1,2.0,1.0
183,apoptosis,3,41,72,37,2,0,2,0.6707317073170732,0.9426686356707317,1.0,0.0,-1,2.0,1.0
184,apoptosis,69,41,71,41,0,0,0,0.7195121951219512,0.9018435594512195,1.0,0.0,-1,2.0,1.0
185,apoptosis,66,41,72,41,0,0,0,0.7073170731707317,0.9512195121951219,1.0,0.0,-1,2.0,1.0
186,apoptosis,17,41,71,41,0,0,0,0.774390243902439,0.9512195121951219,1.0,0.0,-1,2.0,1.0
187,apoptosis,63,41,73,40,0,0,1,0.7682926829268293,0.9512195121951219,1.0,0.0,-1,2.0,1.0
188,apoptosis,49,41,73,41,0,0,0,0.774390243902439,0.9512195121951219,1.0,0.0,-1,2.0,1.0
189,apoptosis,18,41,72,34,6,0,1,0.7317073170731707,0.9512195121951219,1.0,0.0,-1,2.0,1.0
190,apoptosis,4,41,71,41,0,0,0,0.7195121951219512,0.9512195121951219,1.0,0.0,-1,2.0,1.0
191,apoptosis,50,41,71,41,0,0,0,0.7926829268292683,0.9512195121951219,1.0,0.0,-1,2.0,1.0
192,apoptosis,5,41,71,39,1,0,1,0.7926829268292683,0.9512195121951219,1.0,0.0,-1,2.0,1.0
193,apoptosis,54,41,70,40,0,0,1,0.7560975609756098,0.9512195121951219,1.0,0.0,-1,2.0,1.0
194,apoptosis,65,41,73,40,0,0,1,0.6951219512195121,0.9512195121951219,1.0,0.0,-1,2.0,1.0
195,apoptosis,64,41,72,36,2,0,3,0.5,0.8925304878048781,1.0,0.0,-1,2.0,1.0
196,apoptosis,19,41,71,39,1,0,1,0.8048780487804879,0.9512195121951219,1.0,0.0,-1,2.0,1.0
197,apoptosis,51,41,71,40,0,0,1,0.6097560975609756,0.9512195121951219,1.0,0.0,-1,2.0,1.0
