,model,network_idx,num_wccs,norm_num_wccs,len_largest_wcc,norm_len_largest_wcc
413,death,11,11,0.1896551724137931,31,1.1071428571428572
414,death,81,9,0.15517241379310345,25,0.8928571428571429
415,death,16,10,0.1724137931034483,40,1.4285714285714286
416,death,43,10,0.1724137931034483,40,1.4285714285714286
417,death,71,11,0.1896551724137931,42,1.5
418,death,91,12,0.20689655172413793,43,1.5357142857142858
419,death,52,9,0.15517241379310345,48,1.7142857142857142
420,death,13,13,0.22413793103448276,43,1.5357142857142858
421,death,3,12,0.20689655172413793,38,1.3571428571428572
422,death,74,10,0.1724137931034483,22,0.7857142857142857
423,death,78,12,0.20689655172413793,46,1.6428571428571428
424,death,83,11,0.1896551724137931,18,0.6428571428571429
425,death,73,13,0.22413793103448276,41,1.4642857142857142
426,death,56,10,0.1724137931034483,44,1.5714285714285714
427,death,14,12,0.20689655172413793,42,1.5
428,death,90,11,0.1896551724137931,37,1.3214285714285714
429,death,72,12,0.20689655172413793,31,1.1071428571428572
430,death,75,14,0.2413793103448276,40,1.4285714285714286
431,death,51,14,0.2413793103448276,38,1.3571428571428572
432,death,55,13,0.22413793103448276,41,1.4642857142857142
433,death,12,10,0.1724137931034483,43,1.5357142857142858
434,death,89,9,0.15517241379310345,48,1.7142857142857142
435,death,53,11,0.1896551724137931,46,1.6428571428571428
436,death,42,9,0.15517241379310345,48,1.7142857142857142
437,death,88,15,0.25862068965517243,20,0.7142857142857143
438,death,48,14,0.2413793103448276,22,0.7857142857142857
439,death,76,13,0.22413793103448276,24,0.8571428571428571
440,death,15,10,0.1724137931034483,39,1.3928571428571428
441,death,44,11,0.1896551724137931,30,1.0714285714285714
442,death,17,12,0.20689655172413793,36,1.2857142857142858
443,death,87,11,0.1896551724137931,46,1.6428571428571428
444,death,82,11,0.1896551724137931,44,1.5714285714285714
445,death,1,10,0.1724137931034483,45,1.6071428571428572
446,death,77,10,0.1724137931034483,42,1.5
447,death,40,12,0.20689655172413793,31,1.1071428571428572
448,death,24,12,0.20689655172413793,40,1.4285714285714286
449,death,59,14,0.2413793103448276,39,1.3928571428571428
450,death,98,11,0.1896551724137931,45,1.6071428571428572
451,death,67,10,0.1724137931034483,31,1.1071428571428572
452,death,61,12,0.20689655172413793,17,0.6071428571428571
453,death,36,11,0.1896551724137931,22,0.7857142857142857
454,death,65,10,0.1724137931034483,45,1.6071428571428572
455,death,19,10,0.1724137931034483,44,1.5714285714285714
456,death,20,14,0.2413793103448276,44,1.5714285714285714
457,death,31,9,0.15517241379310345,45,1.6071428571428572
458,death,22,11,0.1896551724137931,45,1.6071428571428572
459,death,96,12,0.20689655172413793,28,1.0
460,death,0,13,0.22413793103448276,37,1.3214285714285714
461,death,27,10,0.1724137931034483,45,1.6071428571428572
462,death,95,12,0.20689655172413793,42,1.5
463,death,50,11,0.1896551724137931,48,1.7142857142857142
464,death,28,14,0.2413793103448276,36,1.2857142857142858
465,death,32,8,0.13793103448275862,48,1.7142857142857142
466,death,4,13,0.22413793103448276,29,1.0357142857142858
467,death,37,11,0.1896551724137931,20,0.7142857142857143
468,death,8,13,0.22413793103448276,30,1.0714285714285714
469,death,41,11,0.1896551724137931,46,1.6428571428571428
470,death,35,8,0.13793103448275862,41,1.4642857142857142
471,death,70,12,0.20689655172413793,40,1.4285714285714286
472,death,7,11,0.1896551724137931,22,0.7857142857142857
473,death,30,9,0.15517241379310345,25,0.8928571428571429
474,death,26,11,0.1896551724137931,38,1.3571428571428572
475,death,79,14,0.2413793103448276,37,1.3214285714285714
476,death,69,12,0.20689655172413793,28,1.0
477,death,38,13,0.22413793103448276,20,0.7142857142857143
478,death,5,13,0.22413793103448276,33,1.1785714285714286
479,death,39,12,0.20689655172413793,19,0.6785714285714286
480,death,34,12,0.20689655172413793,34,1.2142857142857142
481,death,99,10,0.1724137931034483,21,0.75
482,death,6,13,0.22413793103448276,42,1.5
483,death,68,13,0.22413793103448276,32,1.1428571428571428
484,death,63,12,0.20689655172413793,47,1.6785714285714286
485,death,64,14,0.2413793103448276,43,1.5357142857142858
486,death,49,12,0.20689655172413793,31,1.1071428571428572
487,death,97,10,0.1724137931034483,49,1.75
488,death,66,12,0.20689655172413793,43,1.5357142857142858
489,death,29,10,0.1724137931034483,42,1.5
490,death,33,12,0.20689655172413793,36,1.2857142857142858
491,death,60,12,0.20689655172413793,40,1.4285714285714286
492,death,57,13,0.22413793103448276,45,1.6071428571428572
493,death,10,13,0.22413793103448276,39,1.3928571428571428
494,death,21,11,0.1896551724137931,47,1.6785714285714286
495,death,62,11,0.1896551724137931,39,1.3928571428571428
496,death,18,11,0.1896551724137931,42,1.5
497,death,23,10,0.1724137931034483,19,0.6785714285714286
498,death,9,9,0.15517241379310345,45,1.6071428571428572
499,death,25,13,0.22413793103448276,40,1.4285714285714286
500,hcc1954_short,79,15,0.4411764705882353,18,1.125
501,hcc1954_short,84,12,0.35294117647058826,12,0.75
502,hcc1954_short,53,16,0.47058823529411764,13,0.8125
503,hcc1954_short,55,12,0.375,18,1.125
504,hcc1954_short,52,14,0.4375,16,1.0
505,hcc1954_short,96,15,0.4411764705882353,16,1.0
506,hcc1954_short,26,16,0.5,6,0.375
507,hcc1954_short,58,15,0.4411764705882353,14,0.875
508,hcc1954_short,98,15,0.4411764705882353,17,1.0625
509,hcc1954_short,73,13,0.38235294117647056,21,1.3125
510,hcc1954_short,75,18,0.5294117647058824,6,0.375
511,hcc1954_short,51,16,0.47058823529411764,14,0.875
512,hcc1954_short,27,12,0.35294117647058826,22,1.375
513,hcc1954_short,76,14,0.4117647058823529,15,0.9375
514,hcc1954_short,37,17,0.5,7,0.4375
515,hcc1954_short,25,17,0.5,9,0.5625
516,hcc1954_short,1,20,0.5882352941176471,4,0.25
517,hcc1954_short,99,13,0.38235294117647056,21,1.3125
518,hcc1954_short,97,17,0.5,11,0.6875
519,hcc1954_short,49,17,0.5,7,0.4375
520,hcc1954_short,80,16,0.47058823529411764,11,0.6875
521,hcc1954_short,39,21,0.6176470588235294,5,0.3125
522,hcc1954_short,30,17,0.5,7,0.4375
523,hcc1954_short,50,14,0.4117647058823529,17,1.0625
524,hcc1954_short,21,19,0.5588235294117647,5,0.3125
525,hcc1954_short,22,14,0.4375,14,0.875
526,hcc1954_short,32,15,0.4411764705882353,11,0.6875
527,hcc1954_short,24,14,0.4117647058823529,17,1.0625
