,network,node,mut,robustness
601,hgf,9,ko,0.0
602,hgf,30,oe,1.0
603,hgf,30,ko,0.0
604,hgf,10,oe,1.0
605,hgf,10,ko,0.0
606,hgf,62,oe,1.0
607,hgf,62,ko,0.0
608,hgf,31,oe,1.0
609,hgf,31,ko,0.0
610,hgf,11,oe,1.0
611,hgf,11,ko,1.0
612,hgf,48,oe,1.0
613,hgf,48,ko,0.0
614,hgf,25,oe,1.0
615,hgf,25,ko,0.0
616,hgf,12,oe,1.0
617,hgf,12,ko,0.0
618,hgf,15,oe,1.0
619,hgf,15,ko,0.0
620,hgf,66,oe,1.0
621,hgf,66,ko,0.0
622,hgf,13,oe,1.0
623,hgf,13,ko,0.0
624,hgf,36,oe,1.0
625,hgf,36,ko,0.0
626,hgf,14,oe,1.0
627,hgf,14,ko,0.0
628,hgf,23,oe,1.0
629,hgf,23,ko,0.0
630,hgf,19,oe,1.0
631,hgf,19,ko,1.0
632,hgf,55,oe,1.0
633,hgf,55,ko,1.0
634,hgf,58,oe,1.0
635,hgf,58,ko,0.0
636,hgf,16,oe,1.0
637,hgf,16,ko,0.0
638,hgf,65,oe,1.0
639,hgf,65,ko,1.0
640,hgf,53,oe,1.0
641,hgf,53,ko,0.0
642,hgf,17,oe,1.0
643,hgf,17,ko,1.0
644,hgf,18,oe,1.0
645,hgf,18,ko,1.0
646,hgf,27,oe,1.0
647,hgf,27,ko,1.0
648,hgf,20,oe,1.0
649,hgf,20,ko,1.0
650,hgf,26,oe,0.0
651,hgf,26,ko,1.0
652,hgf,67,oe,1.0
653,hgf,67,ko,0.0
654,hgf,21,oe,1.0
655,hgf,21,ko,1.0
656,hgf,61,oe,1.0
657,hgf,61,ko,1.0
658,hgf,22,oe,1.0
659,hgf,22,ko,0.0
660,hgf,38,oe,1.0
661,hgf,38,ko,1.0
662,hgf,56,oe,1.0
663,hgf,56,ko,1.0
664,hgf,24,oe,1.0
665,hgf,24,ko,1.0
666,hgf,40,oe,1.0
667,hgf,40,ko,0.0
668,hgf,52,oe,1.0
669,hgf,52,ko,0.0
670,hgf,34,oe,1.0
671,hgf,34,ko,1.0
672,hgf,28,oe,1.0
673,hgf,28,ko,0.0
674,hgf,37,oe,1.0
675,hgf,37,ko,0.0
676,hgf,29,oe,1.0
677,hgf,29,ko,0.0
678,hgf,43,oe,1.0
679,hgf,43,ko,0.0
680,hgf,41,oe,1.0
681,hgf,41,ko,0.0
682,hgf,35,oe,1.0
683,hgf,35,ko,0.0
684,hgf,33,oe,1.0
685,hgf,33,ko,0.0
686,hgf,39,oe,1.0
687,hgf,39,ko,0.0
688,hgf,57,oe,1.0
689,hgf,57,ko,0.0
690,hgf,42,oe,1.0
691,hgf,42,ko,0.0
692,hgf,44,oe,1.0
693,hgf,44,ko,1.0
694,hgf,45,oe,1.0
695,hgf,45,ko,0.0
696,hgf,49,oe,1.0
697,hgf,49,ko,0.0
698,hgf,46,oe,1.0
699,hgf,46,ko,1.0
700,hgf,51,oe,1.0
701,hgf,51,ko,0.0
702,hgf,59,oe,1.0
703,hgf,59,ko,0.0
704,hgf,50,oe,1.0
705,hgf,50,ko,0.0
706,hgf,60,oe,1.0
707,hgf,60,ko,1.0
708,hgf,54,oe,1.0
709,hgf,54,ko,1.0
710,hgf,64,oe,1.0
711,hgf,64,ko,0.0
712,mammalian,0,oe,1.0
713,mammalian,0,ko,0.0
714,mammalian,10,oe,1.0
715,mammalian,10,ko,1.0
716,mammalian,1,oe,1.0
717,mammalian,1,ko,0.0
718,mammalian,13,oe,1.0
719,mammalian,13,ko,0.0
720,mammalian,9,oe,1.0
721,mammalian,9,ko,1.0
722,mammalian,14,oe,1.0
723,mammalian,14,ko,0.0
724,mammalian,8,oe,1.0
725,mammalian,8,ko,0.0
726,mammalian,2,oe,1.0
727,mammalian,2,ko,0.0
728,mammalian,18,oe,1.0
729,mammalian,18,ko,0.0
